#  x座標 　y座標  波動関数密度 という順で出力してます
     0.64516     0.74194     1.16725
     0.64516     0.77419     1.36752
     0.64516     0.80645     1.27998
     0.64516     0.83871     0.99459
     0.64516     0.87097     0.64490
     0.64516     0.90323     0.33797
     0.64516     0.93548     0.12746
     0.64516     0.96774     0.02231
 
     0.67742     0.03226     0.00099
     0.67742     0.06452     0.05837
     0.67742     0.09677     0.18296
     0.67742     0.12903     0.35608
     0.67742     0.16129     0.53549
     0.67742     0.19355     0.64883
     0.67742     0.22581     0.62013
     0.67742     0.25806     0.42522
     0.67742     0.29032     0.14971
     0.67742     0.32258     0.00000
     0.67742     0.35484     0.22690
     0.67742     0.38710     0.97442
     0.67742     0.41935     2.13865
     0.67742     0.45161     3.34914
     0.67742     0.48387     4.12363
     0.67742     0.51613     4.12363
     0.67742     0.54839     3.34914
     0.67742     0.58065     2.13865
     0.67742     0.61290     0.97442
     0.67742     0.64516     0.22690
     0.67742     0.67742     0.00000
     0.67742     0.70968     0.14971
     0.67742     0.74194     0.42522
     0.67742     0.77419     0.62013
     0.67742     0.80645     0.64883
     0.67742     0.83871     0.53549
     0.67742     0.87097     0.35608
     0.67742     0.90323     0.18296
     0.67742     0.93548     0.05837
     0.67742     0.96774     0.00099
 
     0.70968     0.03226     0.00023
     0.70968     0.06452     0.02477
     0.70968     0.09677     0.08517
     0.70968     0.12903     0.16754
     0.70968     0.16129     0.24150
     0.70968     0.19355     0.26403
     0.70968     0.22581     0.20342
     0.70968     0.25806     0.07983
     0.70968     0.29032     0.00000
     0.70968     0.32258     0.14971
     0.70968     0.35484     0.71818
     0.70968     0.38710     1.77271
     0.70968     0.41935     3.15462
     0.70968     0.45161     4.48362
     0.70968     0.48387     5.30338
     0.70968     0.51613     5.30338
     0.70968     0.54839     4.48362
     0.70968     0.58065     3.15462
     0.70968     0.61290     1.77271
     0.70968     0.64516     0.71818
     0.70968     0.67742     0.14971
     0.70968     0.70968     0.00000
     0.70968     0.74194     0.07983
     0.70968     0.77419     0.20342
     0.70968     0.80645     0.26403
     0.70968     0.83871     0.24150
     0.70968     0.87097     0.16754
     0.70968     0.90323     0.08517
     0.70968     0.93548     0.02477
     0.70968     0.96774     0.00023
 
     0.74194     0.03226     0.00007
     0.74194     0.06452     0.00770
     0.74194     0.09677     0.03139
     0.74194     0.12903     0.06370
     0.74194     0.16129     0.08585
     0.74194     0.19355     0.07700
     0.74194     0.22581     0.03423
     0.74194     0.25806     0.00000
     0.74194     0.29032     0.07983
     0.74194     0.32258     0.42522
     0.74194     0.35484     1.16725
     0.74194     0.38710     2.31955
     0.74194     0.41935     3.70684
     0.74194     0.45161     4.98187
     0.74194     0.48387     5.75049
     0.74194     0.51613     5.75049
     0.74194     0.54839     4.98187
     0.74194     0.58065     3.70684
     0.74194     0.61290     2.31955
     0.74194     0.64516     1.16725
     0.74194     0.67742     0.42522
     0.74194     0.70968     0.07983
     0.74194     0.74194     0.00000
     0.74194     0.77419     0.03423
     0.74194     0.80645     0.07700
     0.74194     0.83871     0.08585
     0.74194     0.87097     0.06370
     0.74194     0.90323     0.03139
     0.74194     0.93548     0.00770
     0.74194     0.96774     0.00007
 
     0.77419     0.03226     0.00000
     0.77419     0.06452     0.00018
     0.77419     0.09677     0.00672
     0.77419     0.12903     0.01716
     0.77419     0.16129     0.02092
     0.77419     0.19355     0.01128
     0.77419     0.22581     0.00000
     0.77419     0.25806     0.03423
     0.77419     0.29032     0.20342
     0.77419     0.32258     0.62013
     0.77419     0.35484     1.36752
     0.77419     0.38710     2.42972
     0.77419     0.41935     3.64595
     0.77419     0.45161     4.73155
     0.77419     0.48387     5.37588
     0.77419     0.51613     5.37588
     0.77419     0.54839     4.73155
     0.77419     0.58065     3.64595
     0.77419     0.61290     2.42972
     0.77419     0.64516     1.36752
     0.77419     0.67742     0.62013
     0.77419     0.70968     0.20342
     0.77419     0.74194     0.03423
     0.77419     0.77419     0.00000
     0.77419     0.80645     0.01128
     0.77419     0.83871     0.02092
     0.77419     0.87097     0.01716
     0.77419     0.90323     0.00672
     0.77419     0.93548     0.00018
     0.77419     0.96774     0.00000
 
     0.80645     0.03226     0.00000
     0.80645     0.06452     0.00000
     0.80645     0.09677     0.00011
     0.80645     0.12903     0.00228
     0.80645     0.16129     0.00229
     0.80645     0.19355     0.00000
     0.80645     0.22581     0.01128
     0.80645     0.25806     0.07700
     0.80645     0.29032     0.26403
     0.80645     0.32258     0.64883
     0.80645     0.35484     1.27998
     0.80645     0.38710     2.13140
     0.80645     0.41935     3.07518
     0.80645     0.45161     3.90090
     0.80645     0.48387     4.38564
     0.80645     0.51613     4.38564
     0.80645     0.54839     3.90090
     0.80645     0.58065     3.07518
     0.80645     0.61290     2.13140
     0.80645     0.64516     1.27998
     0.80645     0.67742     0.64883
     0.80645     0.70968     0.26403
     0.80645     0.74194     0.07700
     0.80645     0.77419     0.01128
     0.80645     0.80645     0.00000
     0.80645     0.83871     0.00229
     0.80645     0.87097     0.00228
     0.80645     0.90323     0.00011
     0.80645     0.93548     0.00000
     0.80645     0.96774     0.00000
 
     0.83871     0.03226     0.00000
     0.83871     0.06452     0.00000
     0.83871     0.09677     0.00000
     0.83871     0.12903     0.00001
     0.83871     0.16129     0.00000
     0.83871     0.19355     0.00229
     0.83871     0.22581     0.02092
     0.83871     0.25806     0.08585
     0.83871     0.29032     0.24150
     0.83871     0.32258     0.53549
     0.83871     0.35484     0.99459
     0.83871     0.38710     1.59442
     0.83871     0.41935     2.24501
     0.83871     0.45161     2.80618
     0.83871     0.48387     3.13295
     0.83871     0.51613     3.13295
     0.83871     0.54839     2.80618
     0.83871     0.58065     2.24501
     0.83871     0.61290     1.59442
     0.83871     0.64516     0.99459
     0.83871     0.67742     0.53549
     0.83871     0.70968     0.24150
     0.83871     0.74194     0.08585
     0.83871     0.77419     0.02092
     0.83871     0.80645     0.00229
     0.83871     0.83871     0.00000
     0.83871     0.87097     0.00001
     0.83871     0.90323     0.00000
     0.83871     0.93548     0.00000
     0.83871     0.96774     0.00000
 
     0.87097     0.03226     0.00000
     0.87097     0.06452     0.00000
     0.87097     0.09677     0.00000
     0.87097     0.12903     0.00000
     0.87097     0.16129     0.00001
     0.87097     0.19355     0.00228
     0.87097     0.22581     0.01716
     0.87097     0.25806     0.06370
     0.87097     0.29032     0.16754
     0.87097     0.32258     0.35608
     0.87097     0.35484     0.64490
     0.87097     0.38710     1.01569
     0.87097     0.41935     1.41181
     0.87097     0.45161     1.74972
     0.87097     0.48387     1.94520
     0.87097     0.51613     1.94520
     0.87097     0.54839     1.74972
     0.87097     0.58065     1.41181
     0.87097     0.61290     1.01569
     0.87097     0.64516     0.64490
     0.87097     0.67742     0.35608
     0.87097     0.70968     0.16754
     0.87097     0.74194     0.06370
     0.87097     0.77419     0.01716
     0.87097     0.80645     0.00228
     0.87097     0.83871     0.00001
     0.87097     0.87097     0.00000
     0.87097     0.90323     0.00000
     0.87097     0.93548     0.00000
     0.87097     0.96774     0.00000
 
     0.90323     0.03226     0.00000
     0.90323     0.06452     0.00000
     0.90323     0.09677     0.00000
     0.90323     0.12903     0.00000
     0.90323     0.16129     0.00000
     0.90323     0.19355     0.00011
     0.90323     0.22581     0.00672
     0.90323     0.25806     0.03139
     0.90323     0.29032     0.08517
     0.90323     0.32258     0.18296
     0.90323     0.35484     0.33797
     0.90323     0.38710     0.53576
     0.90323     0.41935     0.74399
     0.90323     0.45161     0.91952
     0.90323     0.48387     1.02035
     0.90323     0.51613     1.02035
     0.90323     0.54839     0.91952
     0.90323     0.58065     0.74399
     0.90323     0.61290     0.53576
     0.90323     0.64516     0.33797
     0.90323     0.67742     0.18296
     0.90323     0.70968     0.08517
     0.90323     0.74194     0.03139
     0.90323     0.77419     0.00672
     0.90323     0.80645     0.00011
     0.90323     0.83871     0.00000
     0.90323     0.87097     0.00000
     0.90323     0.90323     0.00000
     0.90323     0.93548     0.00000
     0.90323     0.96774     0.00000
 
     0.93548     0.03226     0.00000
     0.93548     0.06452     0.00000
     0.93548     0.09677     0.00000
     0.93548     0.12903     0.00000
     0.93548     0.16129     0.00000
     0.93548     0.19355     0.00000
     0.93548     0.22581     0.00018
     0.93548     0.25806     0.00770
     0.93548     0.29032     0.02477
     0.93548     0.32258     0.05837
     0.93548     0.35484     0.12746
     0.93548     0.38710     0.21394
