#  x座標 　y座標  波動関数密度 という順で出力してます
     0.38710     0.48387     5.46494
     0.38710     0.51613     5.43067
     0.38710     0.54839     5.04318
     0.38710     0.58065     4.37640
     0.38710     0.61290     3.54848
     0.38710     0.64516     2.68776
     0.38710     0.67742     1.90112
     0.38710     0.70968     1.25497
     0.38710     0.74194     0.77234
     0.38710     0.77419     0.44230
     0.38710     0.80645     0.23488
     0.38710     0.83871     0.11485
     0.38710     0.87097     0.05095
     0.38710     0.90323     0.01980
     0.38710     0.93548     0.00614
     0.38710     0.96774     0.00110
 
     0.41935     0.03226     0.00098
     0.41935     0.06452     0.00502
     0.41935     0.09677     0.01542
     0.41935     0.12903     0.03852
     0.41935     0.16129     0.08495
     0.41935     0.19355     0.17049
     0.41935     0.22581     0.31561
     0.41935     0.25806     0.54220
     0.41935     0.29032     0.86719
     0.41935     0.32258     1.29342
     0.41935     0.35484     1.80073
     0.41935     0.38710     2.34137
     0.41935     0.41935     2.84408
     0.41935     0.45161     3.22810
     0.41935     0.48387     3.42395
     0.41935     0.51613     3.39395
     0.41935     0.54839     3.14401
     0.41935     0.58065     2.72172
     0.41935     0.61290     2.20164
     0.41935     0.64516     1.66385
     0.41935     0.67742     1.17440
     0.41935     0.70968     0.77379
     0.41935     0.74194     0.47549
     0.41935     0.77419     0.27205
     0.41935     0.80645     0.14448
     0.41935     0.83871     0.07078
     0.41935     0.87097     0.03158
     0.41935     0.90323     0.01244
     0.41935     0.93548     0.00399
     0.41935     0.96774     0.00077
 
     0.45161     0.03226     0.00046
     0.45161     0.06452     0.00230
     0.45161     0.09677     0.00693
     0.45161     0.12903     0.01710
     0.45161     0.16129     0.03736
     0.45161     0.19355     0.07441
     0.45161     0.22581     0.13683
     0.45161     0.25806     0.23361
     0.45161     0.29032     0.37141
     0.45161     0.32258     0.55074
     0.45161     0.35484     0.76234
     0.45161     0.38710     0.98552
     0.45161     0.41935     1.19023
     0.45161     0.45161     1.34313
     0.45161     0.48387     1.41634
     0.45161     0.51613     1.39572
     0.45161     0.54839     1.28534
     0.45161     0.58065     1.10614
     0.45161     0.61290     0.88948
     0.45161     0.64516     0.66824
     0.45161     0.67742     0.46890
     0.45161     0.70968     0.30716
     0.45161     0.74194     0.18769
     0.45161     0.77419     0.10682
     0.45161     0.80645     0.05646
     0.45161     0.83871     0.02756
     0.45161     0.87097     0.01228
     0.45161     0.90323     0.00485
     0.45161     0.93548     0.00157
     0.45161     0.96774     0.00031
 
     0.48387     0.03226     0.00008
     0.48387     0.06452     0.00038
     0.48387     0.09677     0.00113
     0.48387     0.12903     0.00272
     0.48387     0.16129     0.00580
     0.48387     0.19355     0.01130
     0.48387     0.22581     0.02031
     0.48387     0.25806     0.03387
     0.48387     0.29032     0.05256
     0.48387     0.32258     0.07604
     0.48387     0.35484     0.10261
     0.48387     0.38710     0.12922
     0.48387     0.41935     0.15192
     0.48387     0.45161     0.16676
     0.48387     0.48387     0.17091
     0.48387     0.51613     0.16356
     0.48387     0.54839     0.14615
     0.48387     0.58065     0.12193
     0.48387     0.61290     0.09496
     0.48387     0.64516     0.06904
     0.48387     0.67742     0.04683
     0.48387     0.70968     0.02963
     0.48387     0.74194     0.01747
     0.48387     0.77419     0.00959
     0.48387     0.80645     0.00488
     0.48387     0.83871     0.00230
     0.48387     0.87097     0.00099
     0.48387     0.90323     0.00038
     0.48387     0.93548     0.00012
     0.48387     0.96774     0.00002
 
     0.51613     0.03226     0.00002
     0.51613     0.06452     0.00012
     0.51613     0.09677     0.00038
     0.51613     0.12903     0.00099
     0.51613     0.16129     0.00230
     0.51613     0.19355     0.00488
     0.51613     0.22581     0.00959
     0.51613     0.25806     0.01747
     0.51613     0.29032     0.02963
     0.51613     0.32258     0.04683
     0.51613     0.35484     0.06904
     0.51613     0.38710     0.09496
     0.51613     0.41935     0.12193
     0.51613     0.45161     0.14615
     0.51613     0.48387     0.16356
     0.51613     0.51613     0.17091
     0.51613     0.54839     0.16676
     0.51613     0.58065     0.15192
     0.51613     0.61290     0.12922
     0.51613     0.64516     0.10261
     0.51613     0.67742     0.07604
     0.51613     0.70968     0.05256
     0.51613     0.74194     0.03387
     0.51613     0.77419     0.02031
     0.51613     0.80645     0.01130
     0.51613     0.83871     0.00580
     0.51613     0.87097     0.00272
     0.51613     0.90323     0.00113
     0.51613     0.93548     0.00038
     0.51613     0.96774     0.00008
 
     0.54839     0.03226     0.00031
     0.54839     0.06452     0.00157
     0.54839     0.09677     0.00485
